document_idx,topic,probability,date,macro_theme
0,0,0.684165158049505,2021-10-12 20:00:00,Technology and Innovation
1,-1,0.0,2021-10-15 00:00:00,Technology and Innovation
2,0,0.92400986971271,2021-10-18 13:58:00,NFTs and Digital Collectibles
3,2,0.9491084939255352,2021-10-19 13:39:00,NFTs and Digital Collectibles
4,0,1.0,2021-10-27 15:17:00,Security and Fraud
5,0,1.0,2021-10-29 10:40:00,Governance and Organizations
6,0,0.8249966529126486,2021-11-01 15:18:00,Market and Financial Services
7,0,1.0,2021-11-02 15:07:00,NFTs and Digital Collectibles
8,0,0.742429695005136,2021-11-02 19:00:00,NFTs and Digital Collectibles
9,0,1.0,2021-11-03 10:41:00,Technology and Innovation
10,-1,0.0,2021-11-03 11:36:00,Governance and Organizations
11,0,1.0,2021-11-03 12:34:00,NFTs and Digital Collectibles
12,0,1.0,2021-11-04 13:21:00,NFTs and Digital Collectibles
13,0,1.0,2021-11-04 13:57:00,Market and Financial Services
14,-1,0.0,2021-11-04 16:32:00,NFTs and Digital Collectibles
15,0,1.0,2021-11-05 04:42:00,Technology and Innovation
16,-1,0.0,2021-11-05 08:15:00,Technology and Innovation
17,0,1.0,2021-11-05 10:24:00,Governance and Organizations
18,0,0.8156184203440732,2021-11-05 11:49:00,NFTs and Digital Collectibles
19,-1,0.0,2021-11-05 13:37:00,Legal and Regulatory Affairs
20,-1,0.0,2021-11-05 14:13:00,Legal and Regulatory Affairs
21,-1,0.0,2021-11-05 15:39:00,Market and Financial Services
22,0,0.9035946763239756,2021-11-05 16:17:00,Technology and Innovation
23,-1,0.0,2021-11-05 16:58:00,Market and Financial Services
24,0,0.9519721727368464,2021-11-05 21:00:00,Technology and Innovation
25,0,1.0,2021-11-06 01:00:00,Technology and Innovation
26,0,1.0,2021-11-08 09:28:00,NFTs and Digital Collectibles
27,-1,0.0,2021-11-08 11:36:00,Market and Financial Services
28,0,1.0,2021-11-08 12:10:00,Technology and Innovation
29,0,0.7430909195364477,2021-11-08 13:11:00,Technology and Innovation
30,0,1.0,2021-11-08 14:44:00,Market and Financial Services
31,0,1.0,2021-11-08 15:42:00,Governance and Organizations
32,-1,0.0,2021-11-08 17:07:00,Legal and Regulatory Affairs
33,-1,0.0,2021-11-08 20:00:00,NFTs and Digital Collectibles
34,0,0.7675608224782898,2021-11-09 08:51:00,Market and Financial Services
35,0,1.0,2021-11-09 10:05:00,Technology and Innovation
